Name,File Path,Date,Subject,Place,Lat,Long,Posted?,Good?,,,
Image 3,640Pics\2-13-22,2-13-22,Farnsworth's Lab,Green & Samsome,37.800359,-122.40271,,,,,
Image 4,640Pics\2-13-22,2-13-22,Shop Dog,Al's Attire,37.798935,-122.40713,,,,,
Image 5,640Pics\2-13-22,2-13-22,Giant fortune cookies,Golden Gate Fortune Cookie Factory,37.795582,-122.40727,,,,,
Image 6,640Pics\2-13-22,2-13-22,Gathering of people,Golden Gate Fortune Cookie Factory,37.795582,-122.40727,,,,,
Image 7,640Pics\2-13-22,2-13-22,Empty Chinatown Street (the superbowl was on),Grant Ave,37.793963,-122.40624,TRUE,TRUE,,,
Image 8,640Pics\2-13-22,2-13-22,Ferry Building interior,Ferry Building,37.795489,-122.39335,,,,,
Image 9,640Pics\2-13-22,2-13-22,Couple & Bridge,Ferry Building,37.796015,-122.39361,TRUE,TRUE,,,
Image 10,640Pics\2-13-22,2-13-22,Streetcar,Embarcadero Plaza,37.794323,-122.39361,,,,,
Image 1,640Pics\2-24-22,2-24-22,Fort Point & Bridge,Fort Point,37.810006,-122.47647,,,,,
Image 2,640Pics\2-24-22,2-24-22,Hoppers Hands,Fort Point,37.810786,-122.47654,,,,,
Image 3,640Pics\2-24-22,2-24-22,Fishing,Torpedo Wharf,37.808024,-122.46985,,,,,
Image 4,640Pics\2-24-22,2-24-22,Snowy Plovers,Crissy Field Beach,37.806702,-122.46843,,,,,
Image 5,640Pics\2-24-22,2-24-22,Pet Cemetery,Underneath 101,37.802676,-122.46721,TRUE,TRUE,,,
Image 6,640Pics\2-24-22,2-24-22,Long Boi,Crissy Marsh,37.804286,-122.45479,,,,,
Image 8,640Pics\2-24-22,2-24-22,Palace of Fine Arts,Palace of Fine Arts,37.803676,-122.44826,TRUE,TRUE,,,
Image 9,640Pics\2-24-22,2-24-22,Palace of Fine Arts,Palace of Fine Arts,37.802042,-122.44723,,,,,
Image 1,640Pics\3-4-22,03/04/22,Seagull,Pier 1,37.796614,-122.39468,TRUE,TRUE,,,
Image 2,640Pics\3-4-22,03/04/22,Bay Bridge & Coast Guard Helicopter,Ferry Building,37.796383,-122.39379,,,,,
Image 3,640Pics\3-4-22,03/04/22,Ferry Building from water,Bay,37.796901,-122.391751,,,,,
Image 4,640Pics\3-4-22,03/04/22,Ferry Building from water,Bay,37.796901,-122.391751,,,,,
Image 5,640Pics\3-4-22,03/04/22,Financial District from water,Bay,37.799161,-122.387239,,,,,
Image 6,640Pics\3-4-22,03/04/22,Doggy Diner heads,San Francisco Fire Station 48,37.82666,-122.369538,,,,,
Image 7,640Pics\3-4-22,03/04/22,Doggy Diner head,San Francisco Fire Station 48,37.826707,-122.36942,TRUE,TRUE,,,
Image 8,640Pics\3-4-22,03/04/22,Millennium Tower,Salesforce Transit Center,37.78977,-122.396462,,,,,
Image 1,640Pics\3-7-22,03/07/22,Baud Box,My House,37.745592,-122.499029,,,,,
Image 2,640Pics\3-7-22,03/07/22,Me,My House,37.745592,-122.499029,,,,,
Image 3,640Pics\3-7-22,03/07/22,Me,My House,37.745592,-122.499029,,,,,
Image 4,640Pics\3-7-22,03/07/22,Citicar in garage,My House,37.745592,-122.499029,,,,,
Image 5,640Pics\3-7-22,03/07/22,Stay 6 Feet Apart sign,My House,37.745592,-122.499029,,,,,
Image 6,640Pics\3-7-22,03/07/22,Stay 6 Feet Apart sign,My House,37.745592,-122.499029,,,,,
Image 1,640Pics\4-20-22,03/27/22,That house at the end of Rivera,Ramones Pics,37.745444,-122.50657,,,,,
Image 3,640Pics\4-20-22,04/20/22,Dazzle Camo House,1467 41st St,37.759216,-122.500488,,,,,
Image 5,640Pics\4-20-22,04/20/22,Purple Dog,Robin Williams Meadow,37.769304,-122.45874,,,,,
Image 6,640Pics\4-20-22,04/20/22,Weed Journalist,Robin Williams Meadow,37.768851,-122.458477,,,,,
Image 9,640Pics\4-20-22,04/20/22,420 Celebration,Hippie Hill,37.770148,-122.457837,TRUE,TRUE,,,
Image 11,640Pics\4-20-22,04/20/22,Wicked Backpack,Robin Williams Meadow,37.769478,-122.458368,,,,,
Image 1,640Pics\5-1-22,05/01/22,Rock Stacking,Ft Funston,37.723949,-122.504847,,,,,F
Image 2,640Pics\5-1-22,05/01/22,Battery Davis Overlook,Ft Funston,37.718971,-122.504349,,,,,
Image 3,640Pics\5-1-22,05/01/22,Battery Davis Overlook,Ft Funston,37.718971,-122.504349,,,,,
Image 4,640Pics\5-1-22,05/01/22,Hang Glider Parking,Ft Funston,37.714184,-122.50276,,,,,
Image 5,640Pics\5-1-22,05/01/22,Hang Glider Parking,Ft Funston,37.714184,-122.50276,TRUE,TRUE,,,
Image 6,640Pics\5-1-22,05/01/22,Sand Ladder Overlook,Ft Funston,37.713302,-122.502652,,,,,
Image 7,640Pics\5-1-22,05/01/22,Sand Ladder Overlook,Ft Funston,37.713302,-122.502652,TRUE,TRUE,,,
Image 8,640Pics\5-1-22,05/01/22,Funston Beach Cliffs,Ft Funston,37.713098,-122.504177,,TRUE,,,
Image 9,640Pics\5-1-22,05/01/22,Buddah Dog,Ft Funston,37.715028,-122.504557,,,,,
Image 10,640Pics\5-1-22,05/01/22,Buddah Dog,Ft Funston,37.715028,-122.504557,,,,,
Image 11,640Pics\5-1-22,05/01/22,Gun Turret in sand,Ft Funston,37.722549,-122.506392,,,,,
Image 1,640Pics\5-7-22,05/07/22,Fish sculpture,Sunset Playground,37.751204,-122.497763,,,,,
Image 2,640Pics\5-7-22,05/07/22,Chesa Boudin,Sunset Playground,37.750975,-122.497724,,,,,
Image 3,640Pics\5-7-22,05/07/22,Chesa Boudin,Sunset Playground,37.750975,-122.497724,TRUE,TRUE,,,
Image 1,640Pics\5-15-22,05/15/22,Train Tracks,West Portal Station,37.741299,-122.465477,,,,,
Image 2,640Pics\5-15-22,05/15/22,Trains arriving,West Portal Station,37.741299,-122.465477,TRUE,TRUE,,,
Image 3,640Pics\5-15-22,05/15/22,Stockton St,Stockton St Tunnel,37.792861,-122.407738,,,,,
Image 4,640Pics\5-15-22,05/15/22,Stockton & Sacramento ,Stockton St Tunnel,37.793081,-122.407764,TRUE,TRUE,,,
Image 5,640Pics\5-15-22,05/15/22,Fishmonger,Stockton St,37.795226,-122.408231,,,,,
Image 6,640Pics\5-15-22,05/15/22,Weird Eyes,Vacation,37.800508,-122.40769,,,,,
Image 7,640Pics\5-15-22,05/15/22,Naked Elf Graffiti,Union & Bannam Place,37.800516,-122.407926,,,,,
Image 8,640Pics\5-15-22,05/15/22,Stickers,Golden Boy Pizza,37.799681,-122.408055,,,,,
Image 9,640Pics\5-15-22,05/15/22,Pizza ,Golden Boy Pizza,37.799681,-122.408055,,,,,
Image 10,640Pics\5-15-22,05/15/22,Filbert on Washington Square,Saints Peter And Paul Church,37.801224,-122.410476,TRUE,TRUE,,,
Image 11,640Pics\5-15-22,05/15/22,Outside Kite Shop,Zoltan Fortune teller,37.793543,-122.406214,,,,,
Image 1,640Pics\5-30-22,05/30/22,VW Type 3,Judah & 43rd,37.760564,-122.502813,,,,,
Image 2,640Pics\5-30-22,05/30/22,View north from Tank Hill,Tank Hill,37.76034,-122.447168,,,,,
Image 3,640Pics\5-30-22,05/30/22,Sutro Tower,Twin Peaks Blvd,37.759226,-122.447515,,,,,
Image 4,640Pics\5-30-22,05/30/22,Sutro Tower,Twin Peaks Blvd,37.755782,-122.445239,,,,,
Image 5,640Pics\5-30-22,05/30/22,Pride Triangle,Twin Peaks,37.755494,-122.445722,,,,,
Image 6,640Pics\5-30-22,05/30/22,Sutro Tower,Twin Peaks,37.755044,-122.447848,,,,,
Image 7,640Pics\5-30-22,05/30/22,Downtown from above pride triangle ,Twin Peaks,37.754815,-122.446473,,TRUE,,,
Image 8,640Pics\5-30-22,05/30/22,Down market from twin peaks,Twin peaks,37.754603,-122.446312,,TRUE,,,
Image 9,640Pics\5-30-22,05/30/22,AZERTY graffitti,Twin Peaks,37.753619,-122.446806,TRUE,TRUE,,,
Image 10,640Pics\5-30-22,05/30/22,skater,twin peaks,37.753432,-122.446817,,,,,
Image 11,640Pics\5-30-22,05/30/22,skater,twin peaks,37.753432,-122.446817,,,,,
Image 12,640Pics\5-30-22,05/30/22,Skater on ramp,twin peaks,37.753008,-122.446946,TRUE,TRUE,,,
Image 13,640Pics\5-30-22,05/30/22,Skater on ramp,twin peaks,37.753008,-122.446946,TRUE,TRUE,,,
Image 14,640Pics\5-30-22,05/30/22,Hawk hovering in front of sutro tower,twin peaks,37.752542,-122.44774,,,,,
Image 15,640Pics\5-30-22,05/30/22,Hawk hovering in front of sutro tower,twin peaks,37.752542,-122.44774,,,,,
Image 16,640Pics\5-30-22,05/30/22,Hawk hovering in front of sutro tower,twin peaks,37.752542,-122.44774,,,,,
Image 2,640Pics\6-17-22,06/17/22,Conservatory of Flowers,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 3,640Pics\6-17-22,06/17/22,Corpse flower,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 4,640Pics\6-17-22,06/17/22,Pitcher Plant,Conservatory of Flowers,37.772472,-122.460196,TRUE,TRUE,,,
Image 5,640Pics\6-17-22,06/17/22,Flower,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 6,640Pics\6-17-22,06/17/22,Pitcher Plant,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 7,640Pics\6-17-22,06/17/22,Pitcher Plant,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 8,640Pics\6-17-22,06/17/22,Flower,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 9,640Pics\6-17-22,06/17/22,Flower,Conservatory of Flowers,37.772472,-122.460196,TRUE,TRUE,,,
Image 10,640Pics\6-17-22,06/17/22,Water Lily,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 11,640Pics\6-17-22,06/17/22,Water Lily,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 12,640Pics\6-17-22,06/17/22,flower,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 13,640Pics\6-17-22,06/17/22,flower,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 14,640Pics\6-17-22,06/17/22,Corpse flower,Conservatory of Flowers,37.772472,-122.460196,,,,,
Image 15,640Pics\6-17-22,06/17/22,Corpse flower,Conservatory of Flowers,37.772472,-122.460196,TRUE,TRUE,,,
